economy;economycode;female;age;educ;inc_q;emp_in;urbanicity;dig_account;borrowed;saved;fin2;anydigpayment;fin45;internet_use
Saudi Arabia;SAU;2;45;2;3;1;1;1;0;0;1;1;3;1
Saudi Arabia;SAU;1;25;3;4;1;2;0;0;0;2;0;4;1
Saudi Arabia;SAU;2;26;3;5;1;2;1;1;1;1;1;2;1
Saudi Arabia;SAU;1;28;3;4;1;2;1;0;0;1;1;1;1
Saudi Arabia;SAU;2;34;2;2;1;2;1;1;1;1;1;3;1
Saudi Arabia;SAU;2;29;2;1;1;2;0;1;0;2;0;4;1
Saudi Arabia;SAU;2;35;2;4;1;2;1;1;1;1;1;2;1
Saudi Arabia;SAU;2;45;1;1;1;1;1;1;1;1;1;1;1
Saudi Arabia;SAU;1;38;3;5;2;2;1;1;0;1;1;7;1
Saudi Arabia;SAU;1;19;2;4;1;2;1;0;0;1;1;1;1
Saudi Arabia;SAU;2;22;2;5;1;2;1;0;1;1;1;7;1
Saudi Arabia;SAU;1;24;3;4;2;2;1;1;1;1;1;3;1
Saudi Arabia;SAU;2;35;2;2;2;2;1;1;1;1;1;4;1
Saudi Arabia;SAU;1;32;3;5;2;2;1;0;0;1;1;1;1
Saudi Arabia;SAU;2;18;2;4;2;2;1;1;0;1;1;5;1
Saudi Arabia;SAU;2;48;2;3;1;2;1;1;1;1;1;4;1
Saudi Arabia;SAU;1;20;3;3;2;2;0;1;0;2;0;5;1
Saudi Arabia;SAU;1;25;3;3;2;2;1;0;0;1;1;5;1
Saudi Arabia;SAU;2;25;2;1;1;2;1;1;1;1;1;6;1
Saudi Arabia;SAU;2;17;2;2;1;2;0;0;0;1;0;4;1
Saudi Arabia;SAU;2;44;3;4;1;2;1;1;1;1;1;5;1
Saudi Arabia;SAU;1;35;2;2;1;2;1;0;0;1;1;1;1
Saudi Arabia;SAU;1;37;2;5;2;2;0;0;0;1;1;5;1
Saudi Arabia;SAU;2;21;3;3;1;2;1;1;0;1;1;3;1
Saudi Arabia;SAU;2;20;2;1;1;2;1;0;1;1;1;7;1
Saudi Arabia;SAU;2;36;2;3;1;2;1;1;1;1;1;4;1
Saudi Arabia;SAU;2;21;2;1;2;1;0;0;0;1;0;5;1
Saudi Arabia;SAU;2;27;3;1;1;2;1;0;1;1;1;1;1
Saudi Arabia;SAU;1;18;2;2;1;2;1;0;0;1;1;1;1
Saudi Arabia;SAU;1;58;2;1;1;2;1;0;0;1;1;4;1
Saudi Arabia;SAU;1;28;2;3;2;2;1;1;1;1;1;1;1
Saudi Arabia;SAU;2;37;2;4;1;2;1;0;1;1;1;1;1
